ID,JAN,商品名,ASIN,ブランド,売れ筋ランキング,先月購入数,カテゴリー,セラー数,バリエーション,カート価格,新品現在価格,FBA最安値,仕入価格,粗利益,損益分岐(仕入上限),利益率,ROI,仕入判定,FBA手数料,紹介料率,重量・サイズ,危険物,Amazonリンク,Keepaリンク,sedori_poipoi,画像URL,Amazon本体有無,出品制限フラグ,下落回数(30日),納品送料概算,リサーチ日時,仕入済,発送方法,転送済フラグ,SKU,手配書フラグ,仕入個数
b6d837f8,4904621140083,ダイショー 名店監修鍋一風堂ごま担々風極からか 700g,B0F17VJD63,ダイショー,,10,食品・飲料・お酒,,無,,,,,-399,-399,0%,0%,✖️ 見送り,399,7,240x160x72mm 711g,No,https://www.amazon.co.jp/dp/B0F17VJD63,https://keepa.com/#!product/5-B0F17VJD63,http://localhost:3000/?q=B0F17VJD63,https://m.media-amazon.com/images/I/817X6rP8mYL.jpg,無,,0,,2026/02/26 17:51:00,,,,0_20260226_0_B0F17VJD63,,
97dd87a0,4901740991282,業務用 シマヤ かつおだし 顆粒 風味調味料 1kg(500g×2袋),B08GLZBRVR,シマヤ,143809,10,食品・飲料・お酒,6,無,1280,1280,,,702,702,55%,0%,○ 仕入れ対象,465,8,178x138x94mm 1080g,No,https://www.amazon.co.jp/dp/B08GLZBRVR,https://keepa.com/#!product/5-B08GLZBRVR,http://localhost:3000/?q=B08GLZBRVR,https://m.media-amazon.com/images/I/51l+xrRqoCL.jpg,無,,9,,2026/02/26 17:50:00,,,,0_20260226_712_B08GLZBRVR,,
f43b95ba,4901301251039,【花王】ビオレＵ 手指消毒 ＜本体＞ ４００ｍｌ ×５個セット,B00URAJQHQ,花王(Kao),,0,ドラッグストア,7,無,3432,3432,,2500,554,3054,16%,22%,✖️ 見送り,514,10,334x185x163mm 1990g,No,https://www.amazon.co.jp/dp/B00URAJQHQ,https://keepa.com/#!product/5-B00URAJQHQ,http://localhost:3000/?q=B00URAJQHQ,https://m.media-amazon.com/images/I/61ZLaqpnDTL.jpg,無,,0,,2026/02/25 13:33:00,,自己発,,0_20260225_2574_B00URAJQHQ,,
0a0db933,4953103322448,エレコム P-MSS01 スマートフォン汎用アクセサリ ICカード用防磁シート 片面,B073ZZYFMZ,エレコム(ELECOM),21904,12,家電＆カメラ,5,有,1000,1000,,110,617,727,62%,561%,○ 仕入れ対象,222,8,190x90x5mm 20g,No,https://www.amazon.co.jp/dp/B073ZZYFMZ,https://keepa.com/#!product/5-B073ZZYFMZ,http://localhost:3000/?q=B073ZZYFMZ,https://m.media-amazon.com/images/I/61LCHJX8F+L.jpg,無,,12,185,2026/02/23 15:15:00,TRUE,自己発,TRUE,,,1
a9859ddf,4936201109074,フルールセゾン 高保湿ボディローション ラベンダーの香り 400mL ナイアシンアミド配合 (保湿成分),B0F32L7HJL,フルールセゾン,33728,10,ビューティー,2,有,1520,1520,,484,868,1352,57%,179%,○ 仕入れ対象,455,10,193x75x63mm 440g,No,https://www.amazon.co.jp/dp/B0F32L7HJL,https://keepa.com/#!product/5-B0F32L7HJL,http://localhost:3000/?q=B0F32L7HJL,https://m.media-amazon.com/images/I/71cEwRK+ElL.jpg,無,,23,,2026/02/23 15:12:00,TRUE,自己発,TRUE,,,
080ebaec,4549550143806,エレコム ウェットティッシュ クリーナー 除菌 消臭 80枚入り Ag+ 菌・ニオイを除去 日本製 WC-AG80N,B07XCPNF35,エレコム(ELECOM),21600,9,文房具・オフィス用品,8,有,1107,1107,,297,688,985,62%,232%,✖️ 見送り,455,10,174x82x76mm 200g,No,https://www.amazon.co.jp/dp/B07XCPNF35,https://keepa.com/#!product/5-B07XCPNF35,http://localhost:3000/?q=B07XCPNF35,https://m.media-amazon.com/images/I/61GNdBtuCNL.jpg,無,,9,0,2026/02/23 15:11:00,TRUE,自己発,TRUE,,,3
6a3f30ef,4988617248762,エプソン KNC100RHK 両面名刺用紙<半光沢>/名刺サイズ,B01AL76B2C,エプソン,44484,10,文房具・オフィス用品,3,無,2600,2600,,1218,503,1721,19%,41%,○ 仕入れ対象,434,15,112x60x38mm 164g,No,https://www.amazon.co.jp/dp/B01AL76B2C,https://keepa.com/#!product/5-B01AL76B2C,http://localhost:3000/?q=B01AL76B2C,https://m.media-amazon.com/images/I/41s0TcFSDtL.jpg,無,,8,450,2026/02/23 15:01:00,TRUE,自己発,TRUE,,,2
ebf4088c,4901008315775,キャンメイク クリーミータッチライナー 12 イチゴストーム アイライナー ペンシル ジェル なめらか 細芯 ピンクグレー,B0CV5XP1ZQ,キャンメイク,4762,400,ビューティー,88,無,980,980,,715,18,733,2%,3%,✖️ 見送り,222,8,136x22x20mm 10g,No,https://www.amazon.co.jp/dp/B0CV5XP1ZQ,https://keepa.com/#!product/5-B0CV5XP1ZQ,http://localhost:3000/?q=B0CV5XP1ZQ,https://m.media-amazon.com/images/I/31f5BZV-l8L.jpg,無,,41,160,2026/02/23 11:40:00,,自己発,,,,
a44d2eaf,4901008317328,キャンメイク クリーミータッチライナー 13 ブラッドイチゴ アイライナー ペンシル ジェル なめらか 細芯 レッド,B0CV5YPBCX,キャンメイク,4612,200,ビューティー,54,無,1010,1010,,715,46,761,5%,6%,✖️ 見送り,222,8,133x20x19mm 10g,No,https://www.amazon.co.jp/dp/B0CV5YPBCX,https://keepa.com/#!product/5-B0CV5YPBCX,http://localhost:3000/?q=B0CV5YPBCX,https://m.media-amazon.com/images/I/41JFjgpPx0L.jpg,無,,30,160,2026/02/23 11:40:00,,自己発,,,,
9380a2dd,4901008314266,キャンメイク クリーミータッチライナー シアー 40th トゥルーレッド アイライナー ジェル なめらか 極細 シアータイプ 粘膜ピンク,B0FGQB1L1J,キャンメイク,3,1000,ビューティー,90,有,715,715,,715,-40,675,-6%,-6%,✖️ 見送り,252,5,137x33x30mm 10g,No,https://www.amazon.co.jp/dp/B0FGQB1L1J,https://keepa.com/#!product/5-B0FGQB1L1J,http://localhost:3000/?q=B0FGQB1L1J,https://m.media-amazon.com/images/I/41i3jT7MNKL.jpg,有,,8,,2026/02/23 11:39:00,FALSE,自己発,TRUE,,,
73c54e69,4901008314266,キャンメイク クリーミータッチライナー シアー 40th トゥルーレッド アイライナー ジェル なめらか 極細 シアータイプ 粘膜ピンク,B0FGQB1L1J,キャンメイク,3,1000,ビューティー,90,有,715,715,,715,-200,515,-28%,-28%,✖️ 見送り,252,5,137x33x30mm 10g,No,https://www.amazon.co.jp/dp/B0FGQB1L1J,https://keepa.com/#!product/5-B0FGQB1L1J,http://localhost:3000/?q=B0FGQB1L1J,https://m.media-amazon.com/images/I/41i3jT7MNKL.jpg,有,,8,160,2026/02/23 11:39:00,,自己発,,,,
f2e954ad,4901008314266,キャンメイク クリーミータッチライナー シアー 40th トゥルーレッド アイライナー ジェル なめらか 極細 シアータイプ 粘膜ピンク,B0FGQB1L1J,キャンメイク,3,1000,ビューティー,90,有,715,715,,715,-200,515,-28%,-28%,✖️ 見送り,252,5,137x33x30mm 10g,No,https://www.amazon.co.jp/dp/B0FGQB1L1J,https://keepa.com/#!product/5-B0FGQB1L1J,http://localhost:3000/?q=B0FGQB1L1J,https://m.media-amazon.com/images/I/41i3jT7MNKL.jpg,有,,8,160,2026/02/23,,自己発,,,,1
6b02748f,4901008317052,キャンメイク プランぷくコーデアイズ 04 イチゴプランぷく 1.3g 涙袋用アイシャドウ 影用シャドウ ピンクレッド,B0CV5XYY82,キャンメイク,1203,100,ビューティー,47,有,784,784,,784,-229,555,-29%,-29%,✖️ 見送り,222,8,67x47x12mm 10g,No,https://www.amazon.co.jp/dp/B0CV5XYY82,https://keepa.com/#!product/5-B0CV5XYY82,http://localhost:3000/?q=B0CV5XYY82,https://m.media-amazon.com/images/I/61uS+ySGDrL.jpg,有,,48,160,2026/02/23 9:29:00,,自己発,,,,
1db56836,4901008317519,キャンメイク プランぷくコーデアイズ 05 しゃぼんだまプランぷく 1.3g 涙袋用アイシャドウ 影用シャドウ ライラックピンク,B0F3W35TG3,キャンメイク,1203,100,ビューティー,25,有,784,784,,784,-229,555,-29%,-29%,✖️ 見送り,222,8,67x45x12mm 10g,No,https://www.amazon.co.jp/dp/B0F3W35TG3,https://keepa.com/#!product/5-B0F3W35TG3,http://localhost:3000/?q=B0F3W35TG3,https://m.media-amazon.com/images/I/61ucx-QjQTL.jpg,有,,40,160,2026/02/23 9:28:00,,自己発,,,,
d3790ae5,4901008317410,キャンメイク クリーミータッチライナー 16 プリティミルクティー アイライナー ジェル なめらか 極細 ベージュ,B0GGXMFM8M,キャンメイク,3,3000,ビューティー,35,有,715,715,,715,-223,492,-31%,-31%,✖️ 見送り,288,8,140x19x19mm 10g,No,https://www.amazon.co.jp/dp/B0GGXMFM8M,https://keepa.com/#!product/5-B0GGXMFM8M,http://localhost:3000/?q=B0GGXMFM8M,https://m.media-amazon.com/images/I/31LofsV0A9L.jpg,有,,9,160,2026/02/23,,自己発,,,,1
1e7121ef,4901008317410,キャンメイク クリーミータッチライナー 16 プリティミルクティー アイライナー ジェル なめらか 極細 ベージュ,B0GGXMFM8M,キャンメイク,3,3000,ビューティー,35,有,715,715,,715,-223,492,-31%,-31%,✖️ 見送り,288,8,140x19x19mm 10g,No,https://www.amazon.co.jp/dp/B0GGXMFM8M,https://keepa.com/#!product/5-B0GGXMFM8M,http://localhost:3000/?q=B0GGXMFM8M,https://m.media-amazon.com/images/I/31LofsV0A9L.jpg,有,,9,160,2026/02/23,,自己発,,,,1
